"","variables","coefficients"
"1","(Intercept)",-11.6598467173667
"3","FED_FUNDS",2.05062173606407
"2","SPREAD",1.08474249201339
"4","PCE",0.148656109917791
"9","CTI",-0.0243064325275002
"6","UNEMP",0.0155962521428006
"13","IND_PROD",0.0124553641155075
"17","CONS_SENT",-0.0101977113874277
"5","TCU",0.00876722993243563
"15","PRIME_RATE",0.00176080914525598
"18","SP500",-0.00038529836458179
"14","LOANS",-0.000284040035183815
"7","M1",-3.34116787380296e-05
"11","INCOME",-2.28880805082655e-05
"16","PERMITS",-1.93493649094964e-05
"12","MTS",-2.70834761891186e-06
"10","FISC_BAL",1.3643832114806e-07
"8","M3",0
"19","TIGHT",0
