"","variables","coefficients"
"3","FED_FUNDS",1.06424002109514
"1","(Intercept)",1.00317295458155
"2","SPREAD",1.00240650338564
"5","TCU",-0.0195416233408686
"6","UNEMP",-0.0135009614736049
"13","IND_PROD",0.00479211391543955
"9","CTI",0.00454905103366568
"14","LOANS",-0.000517268529494715
"7","M1",-0.000475035857174911
"18","SP500",-0.000431971116197268
"11","INCOME",0.000150657723865595
"16","PERMITS",0.000138632760797947
"17","CONS_SENT",-5.82516540914046e-05
"12","MTS",-1.45866291155197e-07
"10","FISC_BAL",1.01454460507888e-07
"4","PCE",0
"8","M3",0
"15","PRIME_RATE",0
"19","TIGHT",0
