"","variables","coefficients"
"1","(Intercept)",-11.0547121979957
"3","FED_FUNDS",2.01694226078864
"2","SPREAD",1.08591129098169
"4","PCE",0.139636623570869
"9","CTI",-0.0241834568647381
"13","IND_PROD",0.0191081563423715
"6","UNEMP",0.0148625839249231
"17","CONS_SENT",-0.0101840037596552
"5","TCU",0.00161627841800156
"18","SP500",-0.000370498048781341
"14","LOANS",-0.000308142004417766
"16","PERMITS",-4.49641949950017e-05
"7","M1",-1.98960304382723e-05
"11","INCOME",-1.27132541251595e-05
"12","MTS",-2.64655219796377e-06
"10","FISC_BAL",1.39742739812127e-07
"8","M3",0
"15","PRIME_RATE",0
"19","TIGHT",0
