"","variables","coefficients"
"2","SPREAD",0.967470441105566
"3","FED_FUNDS",0.956894277506111
"1","(Intercept)",-0.263956808258303
"19","TIGHT",-0.0588945123382847
"15","PRIME_RATE",0.0348769670298527
"13","IND_PROD",0.00355895599579273
"17","CONS_SENT",0.00215820491099017
"4","PCE",0.00169572194003616
"5","TCU",0.00040203479418237
"16","PERMITS",-0.000206656097311963
"18","SP500",-0.000157710234305611
"7","M1",-1.25751393898055e-05
"11","INCOME",1.1069901001783e-05
"6","UNEMP",-5.03832363285714e-06
"10","FISC_BAL",-9.61314242130718e-08
"8","M3",0
"9","CTI",0
"12","MTS",0
"14","LOANS",0
